product_name,price_without_discount,discount_percent,price_after_discount,total_savings
"OnePlus 9 Pro 5G (Morning Mist, 128 GB)  (8 GB RAM)",59999,16,49890,10109
"OnePlus 10 Pro 5G (Emerald Forest, 128 GB)  (8 GB RAM)",66999,5,62999,4000
"OnePlus 5T (Midnight Black, 64 GB)  (6 GB RAM)",34999,54,15990,19009
"OnePlus 9RT 5G (Hacker Black, 256 GB)  (12 GB RAM)",47200,9,42899,4301
"OnePlus 10T 5G (Moonstone Black, 128 GB)  (8 GB RAM)",49999,8,45989,4010
"OnePlus 8T 5G (Aquamarine Green, 128 GB)  (8 GB RAM)",42999,0,42999,0
"OnePlus 10R (Forest Green, 256 GB)  (12 GB RAM)",42999,9,38999,4000
"OnePlus 9 5G (Winter Mist, 256 GB)  (12 GB RAM)",54999,27,39900,15099
"OnePlus Nord 2 5G (Blue Haze, 128 GB)  (8 GB RAM)",33999,0,33999,0
"OnePlus 10 Pro 5G (Volcanic Black, 256 GB)  (12 GB RAM)",64999,0,64999,0
"OnePlus 9R 5G (Carbon Black, 128 GB)  (8 GB RAM)",39999,0,39999,0
"OnePlus 10R 5G (Sierra Black, 256 GB)  (12 GB RAM)",42999,11,37990,5009
"OnePlus 9RT 5G (Hacker Black, 128 GB)  (8 GB RAM)",42999,7,39900,3099
"OnePlus Nord 2 5G (PAC-MAN, 256 GB)  (12 GB RAM)",37999,7,34990,3009
"OnePlus 9 Pro 5G (Morning Mist, 256 GB)  (12 GB RAM)",69999,28,49999,20000
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)",28999,0,28989,10
"OnePlus Nord 2T 5G (Jade Fog, 128 GB)  (8 GB RAM)",28999,0,28999,0
"OnePlus Nord (Gray Onyx, 64 GB)  (6 GB RAM)",24999,9,22689,2310
"OnePlus Nord 2T 5G (Jade Fog, 256 GB)  (12 GB RAM)",33999,0,33990,9
"OnePlus Nord (Blue Marble, 128 GB)  (8 GB RAM)",27999,11,24790,3209
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)",28999,0,28999,0
"OnePlus Nord CE 5G (Charcoal Ink, 128 GB)  (6 GB RAM)",22999,0,22989,10
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)",28999,0,28999,0
"OnePlus Nord 2 5G (Blue Haze, 256 GB)  (12 GB RAM)",34999,6,32890,2109
"OnePlus 7 Pro (Mirror Grey, 256 GB)  (8 GB RAM)",52999,24,39900,13099
"OnePlus 9RT 5G (Nano Silver, 128 GB)  (8 GB RAM)",39999,0,39999,0
"OnePlus 9 Pro 5G (Pine Green, 256 GB)  (12 GB RAM)",54450,0,54450,0
"OnePlus 7T (Frosted Silver, 128 GB)  (8 GB RAM)",37999,21,29990,8009
"OnePlus Nord CE 5G (Blue Void, 128 GB)  (8 GB RAM)",24499,0,24499,0
"OnePlus 7T Pro Mclaren Limited Edition (Papaya Orange, 256 GB)  (12 GB RAM)",58999,23,44990,14009
"OnePlus Nord 2T 5G (Jade Fog, 128 GB)  (8 GB RAM)",28999,2,28199,800
"OnePlus Nord CE 3 Lite 5G (Lime, 256 GB)  (8 GB RAM)",29999,13,25999,4000
"OnePlus Nord 2T 5G (Jade Fog, 128 GB)  (8 GB RAM)",28999,0,28999,0
"OnePlus 10R 5G (Forest Green, 256 GB)  (12 GB RAM)",42999,16,35880,7119
"OnePlus 11 5G (Marble Odyssey, 256 GB)  (16 GB RAM)",64999,7,59999,5000
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (8 GB RAM)",21999,0,21800,199
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (8 GB RAM)",21997,18,17990,4007
"OnePlus Nord (Gray Ash, 256 GB)  (12 GB RAM)",29999,23,22999,7000
"OnePlus Nord 2T 5G (Jade Fog, 128 GB)  (8 GB RAM)",28999,0,28999,0
"OnePlus Nord (Gray Onyx, 128 GB)  (8 GB RAM)",27999,12,24600,3399
"OnePlus 8T 5G (Lunar Silver, 128 GB)  (8 GB RAM)",42999,27,30989,12010
"OnePlus Nord CE 5G (Charcoal Ink, 128 GB)  (8 GB RAM)",23999,8,21999,2000
"OnePlus Nord CE 5G (Silver Ray, 256 GB)  (12 GB RAM)",27999,21,21999,6000
"OnePlus Nord 2 5G (Blue Haze, 128 GB)  (6 GB RAM)",27999,7,25999,2000
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (6 GB RAM)",23499,0,23499,0
"OnePlus 7 (Red, 256 GB)  (8 GB RAM)",36999,27,26990,10009
"OnePlus 10R 5G (Sierra Black, 256 GB)  (12 GB RAM)",40000,13,34674,5326
"OnePlus 7 (Mirror Grey, 256 GB)  (8 GB RAM)",37999,3,36490,1509
"OnePlus 7 (Mirror Grey, 128 GB)  (6 GB RAM)",32999,3,31890,1109
"OnePlus 9 5G (Winter Mist, 256 GB)  (12 GB RAM)",41490,0,41490,0
"OnePlus 9 5G (Astral Black, 256 GB)  (12 GB RAM)",39680,0,39680,0
"OnePlus 9 5G (Arctic Sky, 128 GB)  (8 GB RAM)",36790,0,36790,0
"OnePlus 9 5G (Astral Black, 128 GB)  (8 GB RAM)",35333,0,35333,0
"OnePlus 8 (Glacial Green, 128 GB)  (6 GB RAM)",39999,25,29759,10240
"OnePlus 8 Pro (Ultramarine Blue, 256 GB)  (12 GB RAM)",51999,26,37999,14000
"OnePlus 9 Pro (Pine Green, 128 GB)  (8 GB RAM)",64999,28,46549,18450
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (8 GB RAM)",24999,28,17999,7000
"OnePlus 7 Pro (Almond, 256 GB)  (8 GB RAM)",52999,47,27999,25000
"OnePlus 7 Pro (Nebula Blue, 256 GB)  (8 GB RAM)",49999,28,35999,14000
"OnePlus 7 Pro (Mirror Grey, 128 GB)  (6 GB RAM)",41799,0,41799,0
"OnePlus 7 Pro (Nebula Blue, 256 GB)  (12 GB RAM)",57999,48,29999,28000
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (8 GB RAM)",24999,28,17999,7000
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (8 GB RAM)",24999,28,17999,7000
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (8 GB RAM)",24999,2,24499,500
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (6 GB RAM)",23990,0,23990,0
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (6 GB RAM)",23990,0,23990,0
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)  (8 GB RAM)",59999,17,49499,10500
"OnePlus Nord (Blue Marble, 64 GB)  (6 GB RAM)",24999,8,22980,2019
"OnePlus 8 Pro (Glacial Green, 128 GB)  (8 GB RAM)",49999,20,39990,10009
"OnePlus Nord (Gray Onyx, 256 GB)  (12 GB RAM)",29999,23,22999,7000
"OnePlus Nord (Blue Marble, 256 GB)  (12 GB RAM)",29999,3,28990,1009
"OnePlus 9RT 5G (Hacker Black, 128 GB)  (8 GB RAM)",42999,16,35949,7050
"OnePlus 8 Pro (Onyx Black, 128 GB)  (8 GB RAM)",54999,29,38999,16000
"OnePlus 9RT 5G (Nano Silver, 256 GB)  (12 GB RAM)",43999,0,43999,0
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)",28999,0,28949,50
"OnePlus Nord 2 5G (Gray Sierra, 128 GB)  (8 GB RAM)",25989,0,25989,0
"OnePlus 9 Pro 5G (Morning Mist, 256 GB)  (12 GB RAM)",69999,31,47999,22000
"OnePlus 8T 5G (Lunar Silver, 256 GB)  (12 GB RAM)",44999,24,33990,11009
"OnePlus 8T 5G (Aquamarine Green, 256 GB)  (12 GB RAM)",43990,25,32990,11000
"OnePlus 9 Pro 5G (Pine Green, 256 GB)  (12 GB RAM)",53290,0,53290,0
"OnePlus 9 Pro 5G (Stellar Black, 128 GB)  (8 GB RAM)",64999,33,42999,22000
"OnePlus 10 Pro 5G (Emerald Forest, 256 GB)  (12 GB RAM)",71999,16,59999,12000
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (8 GB RAM)",21999,16,18299,3700
"OnePlus 9 Pro 5G (Morning Mist, 128 GB)  (8 GB RAM)",64900,33,42999,21901
"OnePlus One (Silk White, 16 GB)  (3 GB RAM)",18998,0,18998,0
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (6 GB RAM)",23999,0,23999,0
"OnePlus 9 Pro (Pine Green, 128 GB)  (8 GB RAM)",49999,0,49999,0
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (8 GB RAM)",24989,0,24989,0
"OnePlus 9 Pro 5G (Stellar Black, 256 GB)  (12 GB RAM)",69999,31,47999,22000
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (6 GB RAM)",19999,0,19999,0
"OnePlus 6T (Mirror Black, 128 GB)  (8 GB RAM)",41999,45,22990,19009
"OnePlus 6T McLaren Edition (Speed Orange, 256 GB)  (10 GB RAM)",48999,0,48998,1
"OnePlus 9RT 5G (Nano Silver, 256 GB)  (12 GB RAM)",44998,0,44998,0
"OnePlus 9RT 5G (Hacker Black, 256 GB)  (12 GB RAM)",41499,0,41499,0
"OnePlus 9 5G (Arctic Sky, 256 GB)  (12 GB RAM)",40999,0,40999,0
"OnePlus 7T (Frosted Silver, 256 GB)  (8 GB RAM)",37999,5,35989,2010
"OnePlus 7T (Glacier Blue, 128 GB)  (8 GB RAM)",37999,21,29699,8300
"OnePlus 7T (Glacier Blue, 256 GB)  (8 GB RAM)",39920,27,28999,10921
"OnePlus Nord CE 3 Lite 5G (Gray, 256 GB)  (8 GB RAM)",29999,26,21999,8000
"OnePlus 7T (Frosted Silver, 128 GB)  (8 GB RAM)",37999,21,29689,8310
"OnePlus 6 (Midnight Black, 256 GB)  (8 GB RAM)",43999,52,20999,23000
"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)",33999,3,32900,1099
"OnePlus Nord CE 5G (Blue Void, 128 GB)  (12 GB RAM)",30999,6,28999,2000
"OnePlus 7T (Glacier Blue, 128 GB)  (8 GB RAM)",37999,21,29699,8300
"OnePlus 7T (Glacier Blue, 256 GB)  (8 GB RAM)",39920,27,28999,10921
"OnePlus Nord CE 3 Lite 5G (Gray, 256 GB)  (8 GB RAM)",29999,26,21999,8000
"OnePlus 6 (Midnight Black, 256 GB)  (8 GB RAM)",43999,52,20999,23000
"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)",33999,0,33990,9
"OnePlus Nord CE 5G (Blue Void, 128 GB)  (12 GB RAM)",30999,6,28999,2000
"OnePlus 8 Pro (Onyx Black, 256 GB)  (12 GB RAM)",59999,0,59999,0
"OnePlus 8 Pro (Glacial Green, 256 GB)  (12 GB RAM)",59999,0,59999,0
"OnePlus Nord 2 5G (PAC-MAN, 256 GB)  (12 GB RAM)",36399,0,36399,0
"OnePlus Nord 2 5G (Blue Haze, 128 GB)  (8 GB RAM)",29999,6,27999,2000
"OnePlus 7T Pro (Haze Blue, 256 GB)  (8 GB RAM)",53999,38,32999,21000
"OnePlus Nord 2 5G (Green Wood, 256 GB)  (12 GB RAM)",34999,14,29992,5007
"OnePlus 9RT 5G (Nano Silver, 128 GB)  (8 GB RAM)",39599,0,39599,0
"OnePlus Nord 2 5G (Blue Haze, 256 GB)  (12 GB RAM)",34990,7,32490,2500
"OnePlus 6T (Thunder Purple, 128 GB)  (8 GB RAM)",41999,28,29990,12009
"OnePlus 9 5G (Winter Mist, 128 GB)  (8 GB RAM)",37190,0,37190,0
"OnePlus 9R 5G (Carbon Black, 256 GB)  (12 GB RAM)",43999,22,33999,10000
"OnePlus 9 Pro 5G (Stellar Black, 128 GB)  (8 GB RAM)",48999,0,48999,0
"OnePlus 9R 5G (Lake Blue, 128 GB)  (8 GB RAM)",39990,24,29999,9991
"OnePlus Nord 2 5G (Gray Sierra, 128 GB)  (8 GB RAM)",19700,0,19700,0
"OnePlus Nord 2 5G (Green Wood, 256 GB)  (12 GB RAM)",33999,0,33999,0
"OnePlus 9 5G (Winter Mist, 128 GB)  (8 GB RAM)",42999,10,38392,4607
"OnePlus 6 (Red, 128 GB)  (8 GB RAM)",29999,0,29998,1
"OnePlus Nord 2 5G (Gray Sierra, 128 GB)  (8 GB RAM)",29999,0,29999,0
"OnePlus 9 Pro (Pine Green, 128 GB)  (8 GB RAM)",49999,0,49999,0
"OnePlus 6 (Mirror Black, 128 GB)  (8 GB RAM)",42999,0,42998,1
"OnePlus Nord 2 5G (Gray Sierra, 256 GB)  (12 GB RAM)",34999,14,29992,5007
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (8 GB RAM)",24989,0,24989,0
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (6 GB RAM)",23999,25,17999,6000
"OnePlus 8 (Onyx Black, 256 GB)  (12 GB RAM)",49999,30,34999,15000
"OnePlus 8 (Glacial Green, 128 GB)  (8 GB RAM)",44999,22,34990,10009
"OnePlus 8 (Glacial Green, 256 GB)  (12 GB RAM)",49999,34,32990,17009
"OnePlus 8 (Interstellar Glow, 256 GB)  (12 GB RAM)",49999,34,32990,17009
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)  (8 GB RAM)",19999,0,19999,0
"OnePlus 9 Pro 5G (Morning Mist, 128 GB)  (8 GB RAM)",64999,26,47999,17000
"OnePlus 10 Pro 5G (Volcanic Black, 256 GB)  (12 GB RAM)",71999,23,54998,17001
"OnePlus 9 Pro 5G (Pine Green, 256 GB)  (12 GB RAM)",69999,31,47999,22000
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (8 GB RAM)",24999,0,24990,9
"OnePlus 9RT 5G (Nano Silver, 256 GB)  (8 GB RAM)",50999,14,43619,7380
"OnePlus 9RT 5G (Hacker Black, 256 GB)  (8 GB RAM)",49999,12,43619,6380
"OnePlus Nord 2T 5G (Jade Fog, 256 GB)  (12 GB RAM)",33999,4,32500,1499
"OnePlus OnePlus 5 (Slate Gray, 128 GB)  (8 GB RAM)",37999,0,37999,0
"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)",33990,14,29198,4792
"OnePlus 6T (Speed Orange, 256 GB)  (10 GB RAM)",39999,0,39999,0
"OnePlus 6T (Mirror Black, 128 GB)  (6 GB RAM)",30999,0,30999,0
"OnePlus 6T (Midnight Black, 128 GB)  (8 GB RAM)",41999,47,21999,20000
"OnePlus 9R 5G (Lake Blue, 256 GB)  (12 GB RAM)",43999,1,43500,499
